Tipo;FZ;NB;HZ;PZ;FR;HR;SALIDA;PR;MN;L;TRN;TR;D;M;MM;Y;Latgrado_ini;Latmin_ini;LTPI;Longrado_ini;Lonmin_ini;LGPI;EOL;DE;DIL;HIL;Latgrado_fin;Longrado_fin;LTPF;Longrado_fin_1;Lonmin_fin;LGPF;Y_coord;X_coord;DTL;HTL;PF;TDF;TEDF;DL;DLT;VA;DV;FNV;ZP;REG;LCC;LCK;CPUELC;LAC;LAK;CPUELA;LCAC;LCAK;FECHA_H;RENDIM_COL;RENDIM_AM;RENDIM_CA;EOL_2;EOL_3;EOL_4;EOL_5;CALADERO
COMERCIAL;45729;LONQUIMAY;19:47:00;TOMÉ;15-03-25;03:20:00;TOMÉ;S/M;1;4;ARRASTRE;;14;3;2025;;35;32;35.53333333;73;2;73.03333333;LCOL;SI;45730;0.220138889;36560;00:00:00;35.48333333;73;0;73;-35.48333333;-73;14-03-25;07:04:00;240;;;107;1.783333333;2;;;113;VII;303;4848;;0;0;;0;0;;2718.504673;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
COMERCIAL;45729;LONQUIMAY;19:47:00;TOMÉ;15-03-25;03:20:00;TOMÉ;S/M;2;4;ARRASTRE;;14;3;2025;;35;33;35.55;73;2;73.03333333;LCOL;SI;45730;0.363194444;36560;00:00:00;35.48333333;73;0;73;-35.48333333;-73;14-03-25;11:06:00;222;FANGO;;143;2.383333333;2;;;113;VII;388;6208;;0;0;;0;0;;2604.755245;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
COMERCIAL;45729;LONQUIMAY;19:47:00;TOMÉ;15-03-25;03:20:00;TOMÉ;S/M;3;4;ARRASTRE;;14;3;2025;;35;32;35.53333333;73;1;73.01666667;LCOL;SI;45730;0.725;36560;00:00:00;35.51666667;73;1;73.01666667;-35.51666667;-73.01666667;14-03-25;18:13:00;215;;;49;0.816666667;2;;;113;VII;160;2560;;0;0;;0;0;;3134.693878;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
COMERCIAL;45730;ALTAIR I;23:21:00;TOMÉ;16-03-25;21:30:00;TOMÉ;3;1;4;ARRASTRE;;15;3;2025;;35;34;35.56666667;73;2;73.03333333;LCOL;SI;45731;0.276388889;36560;00:00:00;35.55;73;2;73.03333333;-35.55;-73.03333333;15-03-25;07:10:00;217;;;32;0.533333333;2;SW;3;113;VII;85;1360;;0;0;;0;0;;2550;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
COMERCIAL;45730;ALTAIR I;23:21:00;TOMÉ;16-03-25;21:30:00;TOMÉ;3;2;4;ARRASTRE;;15;3;2025;;35;32;35.53333333;73;2;73.03333333;LCOL;SI;45731;0.34375;36560;00:00:00;35.5;73;0;73;-35.5;-73;15-03-25;09:30:00;238;;;75;1.25;2;SW;3;113;VII;140.625;2250;;0;0;;0;0;;1800;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
COMERCIAL;45730;ALTAIR I;23:21:00;TOMÉ;16-03-25;21:30:00;TOMÉ;3;4;4;ARRASTRE;;15;3;2025;;35;32;35.53333333;73;1;73.01666667;LCOL;SI;45731;0.555555556;36560;00:00:00;35.56666667;73;2;73.03333333;-35.56666667;-73.03333333;15-03-25;14:23:00;233;;;63;1.05;2;SW;3;113;VII;216.875;3470;;0;0;;0;0;;3304.761905;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
COMERCIAL;45730;ALTAIR I;23:21:00;TOMÉ;16-03-25;21:30:00;TOMÉ;3;5;4;ARRASTRE;;15;3;2025;;35;34;35.56666667;73;2;73.03333333;LCOL;SI;45731;0.677083333;36560;00:00:00;35.51666667;73;1;73.01666667;-35.51666667;-73.01666667;15-03-25;17:54:00;219;;;99;1.65;2;SW;3;113;VII;335.625;5370;;0;0;;0;0;;3254.545455;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
COMERCIAL;45730;ALTAIR I;23:21:00;TOMÉ;16-03-25;21:30:00;TOMÉ;3;6;4;ARRASTRE;;16;3;2025;;35;34;35.56666667;73;2;73.03333333;LCOL;SI;45732;0.227083333;36560;00:00:00;35.53333333;73;1;73.01666667;-35.53333333;-73.01666667;16-03-25;06:33:00;214;;;66;1.1;2;SW;3;113;VII;115;1840;;0;0;;0;0;;1672.727273;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
COMERCIAL;45730;ALTAIR I;23:21:00;TOMÉ;16-03-25;21:30:00;TOMÉ;3;7;4;ARRASTRE;;16;3;2025;;35;31;35.51666667;73;0;73;LCOL;SI;45732;0.306944444;36560;00:00:00;35.53333333;73;1;73.01666667;-35.53333333;-73.01666667;16-03-25;08:20:00;214;;;58;0.966666667;2;SW;4;113;VII;213.75;3420;;0;0;;0;0;;3537.931034;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
COMERCIAL;45731;LONQUIMAY;13:22:00;TOMÉ;16-03-25;23:30:00;TOMÉ;S/M;1;4;ARRASTRE;;15;3;2025;;35;33;35.55;73;2;73.03333333;LCOL;SI;45731;0.864583333;36560;00:00:00;35.51666667;73;1;73.01666667;-35.51666667;-73.01666667;15-03-25;21:45:00;216;;;60;1;2;;;113;VII;78;1248;;0;0;;0;0;;1248;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
